ENDTIME_us,TASK,PID,TYPE,BYTES,OFFSET_b,LATENCY_us,FILE
1383477223570,git,67521,R,177,3137771605,2203,tmp_pack_YhEcHg
1383477232027,git,67521,R,828,3316787775,3028,tmp_pack_YhEcHg
1383477239291,git,67521,R,65536,1624557178,1361,tmp_pack_YhEcHg
1383477240989,git,67521,R,65536,1625938440,1729,tmp_pack_YhEcHg
1383477244670,git,67521,R,44,1626619896,1724,tmp_pack_YhEcHg
1383477246453,git,67521,R,1459,3112027295,1889,tmp_pack_YhEcHg
1383477248027,git,67521,R,19,3353170172,1585,tmp_pack_YhEcHg
1383477259909,git,67521,R,35,3668448507,1086,tmp_pack_YhEcHg
1383477263256,git,67521,R,3214,3668448550,3358,tmp_pack_YhEcHg
1383477265860,git,67521,R,531,3062407775,1592,tmp_pack_YhEcHg
1383477268029,git,67521,R,298,2906345364,2176,tmp_pack_YhEcHg
1383477307014,git,67521,R,737,1678729286,1200,tmp_pack_YhEcHg
1383477308029,git,67521,R,16,1817661051,1033,tmp_pack_YhEcHg
1383477318846,git,67521,R,498,3264030260,1343,tmp_pack_YhEcHg
1383477323876,git,67521,R,23,3590011781,1614,tmp_pack_YhEcHg
